technique,property,variogram_model,nugget,grid_size,n_samples,rmse,mae,r2,mean_sigma_at_samples
kriging,Rp0.2,spherical,0.0,100,56,1.558330992858241e-11,1.3278622645884752e-11,1.0,4.626258366784494e-06
kriging,Rm,spherical,0.0,100,56,2.829957471970532e-11,2.117606830627968e-11,1.0,4.6870459851977527e-07
kriging,At,spherical,0.0,100,56,8.284027629979055e-14,6.56659911631626e-14,1.0,1.663472982554325e-07
kriging,HV,spherical,0.0,100,56,6.931355131058106e-12,5.8510825814058385e-12,1.0,5.1783961594050355e-06
kriging,E,spherical,0.0,100,56,5.2306756841226284e-12,4.1836756281554696e-12,1.0,0.0
kriging,v,spherical,0.0,100,56,9.168587143754161e-16,7.623531435759408e-16,1.0,3.418538801107137e-10
kriging,Z,spherical,0.0,100,56,2.566541605474396e-13,1.8782012981925315e-13,1.0,1.1334257210017121e-06
kriging,A32,spherical,0.0,100,56,6.561478815035485e-14,4.8168876295070126e-14,1.0,2.89074770689766e-07
kriging,R_bar,spherical,0.0,100,56,1.8577584504832502e-16,1.4802973661668753e-16,1.0,5.3601269818587036e-11
kriging,delta_R,spherical,0.0,100,56,4.3007504976381136e-17,3.5896054647229406e-17,1.0,5.578352399628768e-10
