technique,property,grid_size,n_samples,rmse,mae,r2
nearest,Rp0.2,100,56,38.63150083989564,24.964285714285715,0.9733963493035762
nearest,Rm,100,56,28.216319998995516,18.339285714285715,0.9830033145156879
nearest,At,100,56,1.6627054115850723,0.9703571428571427,0.838476242559888
nearest,HV,100,56,4.172614801981401,2.6607142857142856,0.9945520204221406
nearest,E,100,56,4.20458932936041,2.75,0.5356745031365422
nearest,v,100,56,0.04566962103755938,0.028214285714285723,-1.8532542313732328
nearest,Z,100,56,6.239276514834987,3.857142857142857,0.7305927709354443
nearest,A32,100,56,1.5679149029386585,0.9199999999999999,0.8607165094916359
nearest,R_bar,100,56,0.01575481785722341,0.0066071428571428574,0.8253729669097026
nearest,delta_R,100,56,0.02314550249431379,0.007500000000000001,0.9068607068607069
