technique,property,grid_size,n_samples,rmse,mae,r2,kernel,epsilon,smooth
rbf_compact,Rp0.2,100,56,25.355186566732307,19.764932649533993,0.9885398132126774,gaussian,1.0,0.01
rbf_compact,Rm,100,56,19.641541308237304,15.615810409340112,0.991764032513499,gaussian,1.0,0.01
rbf_compact,At,100,56,1.22139909125226,0.9118635268213525,0.9128392470460908,gaussian,1.0,0.01
rbf_compact,HV,100,56,3.4521972285688705,2.6748175323595325,0.996270848035825,gaussian,1.0,0.01
rbf_compact,E,100,56,3.4814410783939107,2.720558915044936,0.6816583497635462,gaussian,1.0,0.01
rbf_compact,v,100,56,0.02508603370204223,0.018557794653374846,0.139106047584019,gaussian,1.0,0.01
rbf_compact,Z,100,56,4.5316475887428975,3.3551731953253077,0.8578807077063928,gaussian,1.0,0.01
rbf_compact,A32,100,56,1.1461408239311006,0.8544471095788921,0.9255729802194764,gaussian,1.0,0.01
rbf_compact,R_bar,100,56,0.011262752055366993,0.007874120394919778,0.9107570846916271,gaussian,1.0,0.01
rbf_compact,delta_R,100,56,0.01636935671326601,0.007678236852627733,0.9534131940817476,gaussian,1.0,0.01
